F,zF,LT,VB,qF,y_D,x_B,residual_norm,success
0.8,0.7,2.9769190000000005,3.20629,1.0,0.999797916446004,0.5794928523073244,2.260619536395343e-08,True
0.8,0.7,2.9769190000000005,3.3666045,1.0,0.999486058715028,0.4155707945643009,2.099487345014306e-08,True
0.8,0.7,2.9769190000000005,3.5269190000000004,1.0,0.9986113435076509,0.04305497197903332,4.0535594828690895e-08,True
0.88,0.3,2.435661,2.8856610000000003,1.0,0.5859082189356728,0.0007937243696441818,1.3793007563845363e-15,True
0.88,0.3,2.435661,3.0459755000000004,1.0,0.4324558450721935,0.0002412037759984252,9.775705628731879e-08,True
0.88,0.3,2.435661,3.20629,1.0,0.34256583712302663,8.060031257333224e-05,9.808266069049125e-09,True
0.88,0.3,2.435661,3.3666045,1.0,0.2835848460241728,2.8811168148411484e-05,1.390766587652281e-09,True
0.88,0.3,2.435661,3.5269190000000004,1.0,0.24192461333059434,1.0872715232717775e-05,1.8434111392379285e-08,True
0.88,0.3,2.5439126,2.8856610000000003,1.0,0.769914747449795,0.0016402549656841508,3.454970531890922e-09,True
0.88,0.3,2.5439126,3.0459755000000004,1.0,0.5254730911839887,0.0004746881908353299,2.7252533621102333e-08,True
0.88,0.3,2.5439126,3.20629,1.0,0.3985130622752396,0.00015585408162630416,1.3136222042484043e-08,True
0.88,0.3,2.5439126,3.3666045,1.0,0.32089394541495125,5.5258249441620197e-05,7.641762479366906e-09,True
0.88,0.3,2.5439126,3.5269190000000004,1.0,0.2685662105982804,2.076565444598948e-05,6.994826625615384e-08,True
0.88,0.3,2.6521642000000005,2.8856610000000003,1.0,0.9982083562588114,0.04782890955579907,3.632408172141997e-15,True
0.88,0.3,2.6521642000000005,3.0459755000000004,1.0,0.6692184881377116,0.0009341994218564237,1.2750212887013106e-15,True
0.88,0.3,2.6521642000000005,3.20629,1.0,0.47625087298293994,0.00029788285282501706,5.859101325883983e-09,True
0.88,0.3,2.6521642000000005,3.3666045,1.0,0.3694958709516857,0.00010432707272872099,2.4115618952797924e-09,True
0.88,0.3,2.6521642000000005,3.5269190000000004,1.0,0.3017988454879714,3.8967573852270954e-05,7.318592249248739e-08,True
0.88,0.3,2.7604158,2.8856610000000003,1.0,0.9994408560868285,0.18393368295403184,1.7763568394002505e-15,True
0.88,0.3,2.7604158,3.0459755000000004,1.0,0.920409491030245,0.001965112162734703,1.2703135753153154e-13,True
0.88,0.3,2.7604158,3.20629,1.0,0.5915441578587862,0.0005660451188878827,8.43378691483236e-09,True
0.88,0.3,2.7604158,3.3666045,1.0,0.4354200962745821,0.00019446643450883548,4.204663279748689e-09,True
0.88,0.3,2.7604158,3.5269190000000004,1.0,0.3444101863121853,7.200213892358357e-05,6.25459328995424e-08,True
0.88,0.3,2.8686674,2.8856610000000003,1.0,0.9997728611539299,0.2862206582786573,1.7407420364898046e-15,True
0.88,0.3,2.8686674,3.0459755000000004,1.0,0.9992100185355957,0.12357012784440051,4.1775479853597796e-08,True
0.88,0.3,2.8686674,3.20629,1.0,0.78019437468981,0.001085492706466727,9.17990605240811e-16,True
